ImageName,Bicycle,Bridge,Bus,Car,Chimney,Crosswalk,Hydrant,Motorcycle,Other,Palm,Stair,Traffic Light
03000.png,0.0014432082,0.0016066406,0.0030647153,0.9696032,0.0005187385,0.0048504784,0.0010592164,0.0020763318,0.00078557513,0.014048595,0.00059465866,0.00034859803
03001.png,0.102761604,0.053917814,0.018930074,0.38226184,0.008210048,0.22513612,0.0033543382,0.014701584,0.061108805,0.04792409,0.019533196,0.062160324
03002.png,0.00031917632,0.00031994676,0.0011661388,0.9956927,0.00024821705,0.00043716235,0.00025606703,0.00031049483,0.00015078865,0.0007442388,0.0001540104,0.00020115786
03003.png,0.00079419813,0.004000663,0.9729532,0.0053555435,0.00059578323,0.01041075,0.00028631228,0.0002420963,0.0003264598,0.0035820385,0.00036539664,0.0010875758
03004.png,0.019219019,0.011403036,0.0071385563,0.5441197,0.0015635946,0.03392967,0.001958742,0.036654714,0.3218295,0.00119478,0.008261423,0.012727231
03005.png,0.002810242,0.0014608703,0.0028502014,0.5004018,0.0012397713,0.002762066,0.0018529554,0.0015177533,0.0005778757,0.4811569,0.0009039532,0.0024655724
03006.png,0.00042781467,0.005426621,0.0002977794,0.971749,0.0007107525,0.0025556397,0.00012646419,0.00067744387,0.012680742,0.0026525655,0.00060314045,0.0020918746
03007.png,0.00021626176,0.00042282155,0.004624513,0.9906607,0.00018619439,0.00059029995,0.0004458143,0.00027559086,0.0017124494,0.0004723645,0.00015529197,0.00023769337
03008.png,0.91317904,0.00028732655,0.0033270458,0.03561619,0.0004945415,0.0033512397,0.001357889,0.036565043,0.0005143166,7.5932665e-05,0.0043547386,0.0008765941
03009.png,0.0024673033,0.0042621666,0.00088934554,0.8617232,0.0015809298,0.046990104,0.0012258779,0.006349411,0.0014283266,0.0027052015,0.008529712,0.061848387
03010.png,0.00011861234,0.00013592695,0.9955448,0.00305529,0.000107623826,0.0002219151,0.00010415443,0.00014214829,0.00018585588,0.00021496629,6.465912e-05,0.00010397609
03011.png,0.0007313339,0.00041132333,0.000497688,0.98666036,0.00020305745,0.005260753,0.0005782062,0.0018105427,0.00014199292,0.0017024232,0.0015522967,0.00045009726
03012.png,0.0010361646,0.0024835882,0.0054064733,0.97971064,0.0004995039,0.0061949766,0.0002385475,0.0010808647,0.0005095161,0.0018254314,0.00046220535,0.00055191584
03013.png,0.00931737,0.012625609,0.0046666353,0.09587261,0.008233611,0.087433375,0.0016525681,0.023786148,0.69458574,0.003290926,0.033999275,0.024536148
03014.png,0.0009285914,0.00045779307,0.0010238488,0.98951375,0.00022690665,0.0042260033,0.00025302818,0.0010816344,0.0006206898,0.0010290084,0.00043396145,0.00020461026
03015.png,0.00089231477,0.00047304123,0.009227333,0.03237662,0.002975587,0.00042665532,0.0011692959,0.0007660561,0.039084982,0.90732116,0.0022736283,0.0030132202
03016.png,5.1687213e-05,1.2304193e-05,0.9990355,0.0004990423,1.734549e-05,4.5148387e-05,5.0018098e-05,6.8801004e-05,7.6168544e-05,7.314538e-05,9.88663e-06,6.1001523e-05
03017.png,1.7060609e-05,0.99939024,5.543292e-06,0.0003409339,7.2589705e-06,5.2269374e-05,3.8190083e-06,2.4004927e-05,6.519873e-05,1.5908136e-05,5.3750875e-05,2.3920236e-05
03018.png,0.0006466923,0.0006719587,0.0007779151,0.00079461455,0.00053007883,0.99258465,0.00014206026,0.00069109636,0.0004973384,0.0008295922,0.0011008877,0.00073300704
03019.png,0.0040538125,0.0042544305,0.007538383,0.0031708837,0.005068993,0.9482459,0.0023073775,0.0026906256,0.0069285193,0.0022429207,0.010168173,0.0033299942
03020.png,0.00024536936,9.8036086e-05,0.00011106762,0.00086986425,9.550989e-05,0.9969207,0.00020451054,0.00018638113,0.0008152361,0.0001925243,0.00015835045,0.00010255435
03021.png,5.67709e-05,7.5407333e-06,0.99940383,0.00022972534,1.4377057e-05,1.3802277e-05,1.51320855e-05,2.7096088e-05,8.0495345e-05,3.8058533e-05,2.2758257e-05,9.0423375e-05
03022.png,0.00025892135,0.0008789706,8.715446e-05,0.9839532,0.000118411306,0.0032329462,0.00027206342,0.00037983299,0.008818181,0.00035299562,0.00064664596,0.0010007318
03023.png,0.000863045,0.0055365483,0.0008938463,0.029158233,0.01623677,0.005553092,0.0009126305,0.002321407,0.013536657,0.004180703,0.0066245864,0.9141825
03024.png,0.00049614476,0.0011213145,0.0004347238,0.9857772,0.00018429672,0.002415888,0.00037851618,0.00065956404,0.0011628971,0.0040925033,0.00034734365,0.002929579
03025.png,0.0019812605,0.00040061952,0.004146064,0.9562964,0.00024467154,0.0011435237,0.00044092193,0.0006917042,0.0031974139,0.03011925,0.00025198367,0.0010861906
